Publisher Name,Publisher Registry Id,Publisher Type,Timeliness,Forward looking,Comprehensiveness,Score
Center for Church-Based Development,cku,International NGO,75.0,84.33333333333333,70.83385547201337,76.72239626844889
Center for Civilians in Conflict,civic_admin,International NGO,12.5,0.0,76.38888888888889,29.62962962962963
Center for Development and Integration,cdi_vn_2021,National NGO,0.0,0.0,86.11111111111111,28.703703703703706
Center for International Legal Cooperation (CILC),cilc,Foundation,0.0,0.0,0.0,0.0
Center for Participation and Development,cpd_2021,National NGO,0.0,0.0,56.25,18.75
Center for Research on Environment Health and Population Activities (CREHPA),crehpa,National NGO,0.0,0.0,68.61111111111111,22.87037037037037
"Center for Research, Evaluation Resources and Development (CRERD)",crerd_ng,National NGO,0.0,0.0,74.30555555555556,24.76851851851852
Centre des Etudes Méditerranéennes et Internationales,cemi,National NGO,25.0,0.0,81.11111111111111,35.370370370370374
Centre Diocésain de Communication de Ouahigouya,cdc_ohg,National NGO,0.0,0.0,0.0,0.0
Centre For Citizens With Disabilities,ccdnigeria,National NGO,0.0,0.0,0.0,0.0
Centre for Economic Policy Research,cepr,National NGO,50.0,33.333333333333336,80.55555555555556,54.62962962962964
Centre for Economic Strategy Ukraine,ces-ua,National NGO,0.0,0.0,0.0,0.0
Centre for Environment Human Rights and Development,cehrd1,International NGO,0.0,0.0,0.0,0.0
Centre for Humanitarian Dialogue (HD Centre),hdcentre,Foundation,25.0,0.0,0.0,8.333333333333334
Centre for Indian Knowledge Systems,ciks,"Academic, Training and Research",0.0,0.0,72.63888888888889,24.212962962962962
"Centre for Injury Prevention and Research, Bangladesh (CIPRB)",ciprb,National NGO,0.0,0.0,57.5,19.166666666666668
Centre for Policy Dialogue,cpd,National NGO,0.0,0.0,0.0,0.0
Centre for Rights Education and Awareness,creawkenya,National NGO,0.0,0.0,70.83333333333333,23.61111111111111
Centre for the Study of Adolescence,csa-kenya,"Academic, Training and Research",0.0,0.0,0.0,0.0
Centre International de Développement et de Recherche,cidr,International NGO,0.0,0.0,0.0,0.0
Centre National de Coopération au Développement (CNCD-11.11.11),cncd,National NGO,37.5,100.0,84.44444444444444,73.98148148148148
Centre Tricontinental - CETRI,ct-admin,National NGO,37.5,100.0,84.02777777777777,73.8425925925926
Centro Brasileiro de Análise e Planejamento - Cebrap,_cebrap,"Academic, Training and Research",50.0,100.0,71.52777777777777,73.8425925925926
Centro de Aprendizagem e Capacitação da Sociedade Civil,cesc,National NGO,12.5,66.66666666666667,79.16666666666667,52.77777777777778
Centro de Inteligência Territorial,cit_brazil,"Academic, Training and Research",12.5,33.333333333333336,58.05555555555556,34.629629629629626
Centro de Promocion y Defensa de los Derechos Sexuales y Reproductivos,promsex,Regional NGO,0.0,0.0,0.0,0.0
Cesvi,cesvi,International NGO,0.0,0.0,52.77777777777778,17.59259259259259
CGIAR,cgiar,"Academic, Training and Research",100.0,1.6666666666666667,75.0519512237646,58.9062059634771
Chama cha Uzazi na Malezi Bora Tanzania (UMATI),umati,National NGO,0.0,0.0,0.0,0.0
Chance for Childhood,chanceforchildhood,International NGO,0.0,0.0,70.03968253968254,23.34656084656085
Charity Projects Ltd (Comic Relief),cprojects,Foundation,0.0,58.333333333333336,68.04114633365353,42.12482655566229
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,cdeb-kvhb_admin,National NGO,37.5,86.66666666666667,85.74074074074073,69.96913580246913
CHEKA SANA TANZANIA,cst,National NGO,0.0,0.0,0.0,0.0
Chemonics International Inc.,chemonics,Private Sector,87.5,0.0,75.11574074074073,54.20524691358025
Child Rights Coalition Asia,crcasia,Regional NGO,12.5,66.66666666666667,68.72685185185185,49.29783950617284
Child-to-Child,ctc,International NGO,0.0,0.0,0.0,0.0
Child.org,child-dot_org,International NGO,12.5,0.0,0.0,4.166666666666667
ChildFund International,childfund,International NGO,0.0,0.0,0.0,0.0
ChildHope UK,childhopeuk,International NGO,0.0,0.0,77.01388888888889,25.671296296296294
Children in Crisis,cic,International NGO,0.0,0.0,79.86111111111111,26.62037037037037
CHOICE for Youth and Sexuality,cfyas,International NGO,50.0,11.0,74.99999999999999,45.333333333333336
Christian Aid,caid,International NGO,87.5,68.66666666666667,67.9739182704046,74.7135283123571
Christian Aid Ireland,caid_ireland,International NGO,50.0,89.33333333333333,69.00730631375792,69.44687988236375
Christian Blind Mission (UK) Ltd.,cbm,International NGO,75.0,14.666666666666666,70.49603174603175,53.38756613756615
Christian Engineers in Development,ced,International NGO,0.0,0.0,63.05555555555556,21.01851851851852
Church of England - The Archbishops' Council,coe-abc,"Academic, Training and Research",0.0,0.0,0.0,0.0
